UnitCode;Price;Currency
HPL53R05050000;27964.02;EUR
HPL53R05050001;28177.96;EUR
HPL53R05050010;28726.54;EUR
HPL53R05050011;28940.48;EUR
HPL53R05050100;28525.48;EUR
HPL53R05050101;28739.42;EUR
HPL53R05050110;29288.00;EUR
HPL53R05050111;29501.94;EUR
HPL53R0505C000;30307.27;EUR
HPL53R0505C001;30521.21;EUR
HPL53R0505C010;31069.80;EUR
HPL53R0505C011;31283.74;EUR
HPL53R0505C100;30954.60;EUR
HPL53R0505C101;31168.54;EUR
HPL53R0505C110;31717.13;EUR
HPL53R0505C111;31931.07;EUR
HPL53L47050000;27998.70;EUR
HPL53L47050001;28212.64;EUR
HPL53L47050010;28761.22;EUR
HPL53L47050011;28975.16;EUR
HPL53L47050100;28560.16;EUR
HPL53L47050101;28774.10;EUR
HPL53L47050110;29322.68;EUR
HPL53L47050111;29536.62;EUR
HPL53L4705C000;30341.95;EUR
HPL53L4705C001;30555.89;EUR
HPL53L4705C010;31104.48;EUR
HPL53L4705C011;31318.42;EUR
HPL53L4705C100;30989.28;EUR
HPL53L4705C101;31203.22;EUR
HPL53L4705C110;31751.81;EUR
HPL53L4705C111;31965.75;EUR
HPL53L49050000;27998.28;EUR
HPL53L49050001;28212.22;EUR
HPL53L49050010;28760.80;EUR
HPL53L49050011;28974.74;EUR
HPL53L49050100;28559.74;EUR
HPL53L49050101;28773.68;EUR
HPL53L49050110;29322.26;EUR
HPL53L49050111;29536.20;EUR
HPL53L4905C000;30341.53;EUR
HPL53L4905C001;30555.47;EUR
HPL53L4905C010;31104.06;EUR
HPL53L4905C011;31318.00;EUR
HPL53L4905C100;30988.86;EUR
HPL53L4905C101;31202.80;EUR
HPL53L4905C110;31751.39;EUR
HPL53L4905C111;31965.33;EUR
HPL53L05050000;27964.02;EUR
HPL53L05050001;28177.96;EUR
HPL53L05050010;28726.54;EUR
HPL53L05050011;28940.48;EUR
HPL53L05050100;28525.48;EUR
HPL53L05050101;28739.42;EUR
HPL53L05050110;29288.00;EUR
HPL53L05050111;29501.94;EUR
HPL53L0505C000;30307.27;EUR
HPL53L0505C001;30521.21;EUR
HPL53L0505C010;31069.80;EUR
HPL53L0505C011;31283.74;EUR
HPL53L0505C100;30954.60;EUR
HPL53L0505C101;31168.54;EUR
HPL53L0505C110;31717.13;EUR
HPL53L0505C111;31931.07;EUR
HPL64R47050000;29350.35;EUR
HPL64R47050001;29564.29;EUR
HPL64R47050010;30178.64;EUR
HPL64R47050011;30392.58;EUR
HPL64R47050100;30012.68;EUR
HPL64R47050101;30226.62;EUR
HPL64R47050110;30840.97;EUR
HPL64R47050111;31054.91;EUR
HPL64R4705C000;31977.34;EUR
HPL64R4705C001;32191.28;EUR
HPL64R4705C010;32805.62;EUR
HPL64R4705C011;33019.56;EUR
HPL64R4705C100;32741.70;EUR
HPL64R4705C101;32955.64;EUR
HPL64R4705C110;33569.99;EUR
HPL64R4705C111;33783.93;EUR
HPL64R49050000;29350.73;EUR
HPL64R49050001;29564.67;EUR
HPL64R49050010;30179.02;EUR
HPL64R49050011;30392.96;EUR
HPL64R49050100;30013.06;EUR
HPL64R49050101;30227.00;EUR
HPL64R49050110;30841.35;EUR
HPL64R49050111;31055.29;EUR
HPL64R4905C000;31977.72;EUR
HPL64R4905C001;32191.66;EUR
HPL64R4905C010;32806.00;EUR
HPL64R4905C011;33019.94;EUR
HPL64R4905C100;32742.08;EUR
HPL64R4905C101;32956.02;EUR
HPL64R4905C110;33570.37;EUR
HPL64R4905C111;33784.31;EUR
HPL64R05050000;29308.08;EUR
HPL64R05050001;29522.02;EUR
HPL64R05050010;30136.37;EUR
HPL64R05050011;30350.31;EUR
HPL64R05050100;29970.41;EUR
HPL64R05050101;30184.35;EUR
HPL64R05050110;30798.70;EUR
HPL64R05050111;31012.64;EUR
HPL64R0505C000;31935.07;EUR
HPL64R0505C001;32149.01;EUR
HPL64R0505C010;32763.35;EUR
HPL64R0505C011;32977.29;EUR
HPL64R0505C100;32699.43;EUR
HPL64R0505C101;32913.37;EUR
HPL64R0505C110;33527.72;EUR
HPL64R0505C111;33741.66;EUR
HPL64L47050000;29350.35;EUR
HPL64L47050001;29564.29;EUR
HPL64L47050010;30178.64;EUR
HPL64L47050011;30392.58;EUR
HPL64L47050100;30012.68;EUR
HPL64L47050101;30226.62;EUR
HPL64L47050110;30840.97;EUR
HPL64L47050111;31054.91;EUR
HPL64L4705C000;31977.34;EUR
HPL64L4705C001;32191.28;EUR
HPL64L4705C010;32805.62;EUR
HPL64L4705C011;33019.56;EUR
HPL64L4705C100;32741.70;EUR
HPL64L4705C101;32955.64;EUR
HPL64L4705C110;33569.99;EUR
HPL64L4705C111;33783.93;EUR
HPL64L49050000;29350.73;EUR
HPL64L49050001;29564.67;EUR
HPL64L49050010;30179.02;EUR
HPL64L49050011;30392.96;EUR
HPL64L49050100;30013.06;EUR
HPL64L49050101;30227.00;EUR
HPL64L49050110;30841.35;EUR
HPL64L49050111;31055.29;EUR
HPL64L4905C000;31977.72;EUR
HPL64L4905C001;32191.66;EUR
HPL64L4905C010;32806.00;EUR
HPL64L4905C011;33019.94;EUR
HPL64L4905C100;32742.08;EUR
HPL64L4905C101;32956.02;EUR
HPL64L4905C110;33570.37;EUR
HPL64L4905C111;33784.31;EUR
HPL64L05050000;29308.08;EUR
HPL64L05050001;29522.02;EUR
HPL64L05050010;30136.37;EUR
HPL64L05050011;30350.31;EUR
HPL64L05050100;29970.41;EUR
HPL64L05050101;30184.35;EUR
HPL64L05050110;30798.70;EUR
HPL64L05050111;31012.64;EUR
HPL64L0505C000;31935.07;EUR
HPL64L0505C001;32149.01;EUR
HPL64L0505C010;32763.35;EUR
HPL64L0505C011;32977.29;EUR
HPL64L0505C100;32699.43;EUR
HPL64L0505C101;32913.37;EUR
HPL64L0505C110;33527.72;EUR
HPL64L0505C111;33741.66;EUR
HPL90R47050000;38762.03;EUR
HPL90R47050001;38975.97;EUR
HPL90R47050010;39590.23;EUR
HPL90R47050011;39804.17;EUR
HPL90R47050100;39538.59;EUR
HPL90R47050101;39752.53;EUR
HPL90R47050110;40366.78;EUR
HPL90R47050111;40580.72;EUR
HPL90R4705C000;42010.76;EUR
HPL90R4705C001;42224.70;EUR
HPL90R4705C010;42838.96;EUR
HPL90R4705C011;43052.90;EUR
HPL90R4705C100;42886.47;EUR
HPL90R4705C101;43100.41;EUR
HPL90R4705C110;43714.66;EUR
HPL90R4705C111;43928.60;EUR
HPL90R49050000;38762.41;EUR
HPL90R49050001;38976.35;EUR
HPL90R49050010;39590.61;EUR
HPL90R49050011;39804.55;EUR
HPL90R49050100;39538.97;EUR
HPL90R49050101;39752.91;EUR
HPL90R49050110;40367.16;EUR
HPL90R49050111;40581.10;EUR
HPL90R4905C000;42011.14;EUR
HPL90R4905C001;42225.08;EUR
HPL90R4905C010;42839.34;EUR
HPL90R4905C011;43053.28;EUR
HPL90R4905C100;42886.85;EUR
HPL90R4905C101;43100.79;EUR
HPL90R4905C110;43715.04;EUR
HPL90R4905C111;43928.98;EUR
HPL90R05050000;38719.76;EUR
HPL90R05050001;38933.70;EUR
HPL90R05050010;39547.96;EUR
HPL90R05050011;39761.90;EUR
HPL90R05050100;39496.32;EUR
HPL90R05050101;39710.26;EUR
HPL90R05050110;40324.51;EUR
HPL90R05050111;40538.45;EUR
HPL90R0505C000;41968.49;EUR
HPL90R0505C001;42182.43;EUR
HPL90R0505C010;42796.69;EUR
HPL90R0505C011;43010.63;EUR
HPL90R0505C100;42844.20;EUR
HPL90R0505C101;43058.14;EUR
HPL90R0505C110;43672.39;EUR
HPL90R0505C111;43886.33;EUR
HPL90L47050000;38762.03;EUR
HPL90L47050001;38975.97;EUR
HPL90L47050010;39590.23;EUR
HPL90L47050011;39804.17;EUR
HPL90L47050100;39538.59;EUR
HPL90L47050101;39752.53;EUR
HPL90L47050110;40366.78;EUR
HPL90L47050111;40580.72;EUR
HPL90L4705C000;42010.76;EUR
HPL90L4705C001;42224.70;EUR
HPL90L4705C010;42838.96;EUR
HPL90L4705C011;43052.90;EUR
HPL90L4705C100;42886.47;EUR
HPL90L4705C101;43100.41;EUR
HPL90L4705C110;43714.66;EUR
HPL90L4705C111;43928.60;EUR
HPL90L49050000;38762.41;EUR
HPL90L49050001;38976.35;EUR
HPL90L49050010;39590.61;EUR
HPL90L49050011;39804.55;EUR
HPL90L49050100;39538.97;EUR
HPL90L49050101;39752.91;EUR
HPL90L49050110;40367.16;EUR
HPL90L49050111;40581.10;EUR
HPL90L4905C000;42011.14;EUR
HPL90L4905C001;42225.08;EUR
HPL90L4905C010;42839.34;EUR
HPL90L4905C011;43053.28;EUR
HPL90L4905C100;42886.85;EUR
HPL90L4905C101;43100.79;EUR
HPL90L4905C110;43715.04;EUR
HPL90L4905C111;43928.98;EUR
HPL90L05050000;38719.76;EUR
HPL90L05050001;38933.70;EUR
HPL90L05050010;39547.96;EUR
HPL90L05050011;39761.90;EUR
HPL90L05050100;39496.32;EUR
HPL90L05050101;39710.26;EUR
HPL90L05050110;40324.51;EUR
HPL90L05050111;40538.45;EUR
HPL90L0505C000;41968.49;EUR
HPL90L0505C001;42182.43;EUR
HPL90L0505C010;42796.69;EUR
HPL90L0505C011;43010.63;EUR
HPL90L0505C100;42844.20;EUR
HPL90L0505C101;43058.14;EUR
HPL90L0505C110;43672.39;EUR
HPL90L0505C111;43886.33;EUR
